plant,scenario,module,term,value_MJ,kind,confidence,note
D020,realtime,TEI-J,qual_MTS,1755600.0,cost,C,DIMOSTRATIVO
D020,realtime,TEI-J,qual_MTO,1404480.0,cost,C,DIMOSTRATIVO
D020,realtime,EFA-J,RI,245784000.0,cost,C,DIMOSTRATIVO
D020,realtime,EFA-J,IEQ,37620000.0,cost,C,DIMOSTRATIVO
D020,realtime,EFA-J,WEX,13376000.0,cost,C,DIMOSTRATIVO
D020,realtime,EFA-J,CIRC,16302000.0,benefit,C,DIMOSTRATIVO
D020,realtime,EcoFA-J,VA,177232000.0,benefit,C,DIMOSTRATIVO
D020,realtime,EcoFA-J,econ_in,47025000.0,cost,C,DIMOSTRATIVO
D020,realtime,EcoFA-J,INV,21568800.0,cost,C,DIMOSTRATIVO
D020,realtime,SFA-J,SV,77539000.0,benefit,C,DIMOSTRATIVO
D020,realtime,SFA-J,train,5183200.0,benefit,C,DIMOSTRATIVO
D020,realtime,SFA-J,lost,5016000.0,cost,C,DIMOSTRATIVO
D020,realtime,SFA-J,CO2,26334000.0,cost,C,DIMOSTRATIVO
D060,ref2017,TEI-J,loss_MTS,101760000.0,cost,C,DIMOSTRATIVO
D060,ref2017,TEI-J,loss_MTO,88192000.0,cost,C,DIMOSTRATIVO
D060,ref2017,TEI-J,inv,10176000.0,cost,C,DIMOSTRATIVO
D060,ref2017,TEI-J,qual_MTS,3392000.0,cost,C,DIMOSTRATIVO
D060,ref2017,TEI-J,qual_MTO,2713600.0,cost,C,DIMOSTRATIVO
D060,ref2017,EFA-J,RI,407040000.0,cost,C,DIMOSTRATIVO
D060,ref2017,EFA-J,IEQ,67840000.0,cost,C,DIMOSTRATIVO
D060,ref2017,EFA-J,WEX,27136000.0,cost,C,DIMOSTRATIVO
D060,ref2017,EFA-J,CIRC,20352000.0,benefit,C,DIMOSTRATIVO
D060,ref2017,EcoFA-J,VA,271360000.0,benefit,C,DIMOSTRATIVO
D060,ref2017,EcoFA-J,econ_in,84800000.0,cost,C,DIMOSTRATIVO
D060,ref2017,EcoFA-J,INV,40704000.0,cost,C,DIMOSTRATIVO
D060,ref2017,SFA-J,SV,118720000.0,benefit,C,DIMOSTRATIVO
D060,ref2017,SFA-J,train,6784000.0,benefit,C,DIMOSTRATIVO
D060,ref2017,SFA-J,lost,10176000.0,cost,C,DIMOSTRATIVO
D060,ref2017,SFA-J,CO2,50880000.0,cost,C,DIMOSTRATIVO
D060,historical,TEI-J,loss_MTS,91584000.0,cost,C,DIMOSTRATIVO
D060,historical,TEI-J,loss_MTO,79372800.0,cost,C,DIMOSTRATIVO
D060,historical,TEI-J,inv,9260160.0,cost,C,DIMOSTRATIVO
D060,historical,TEI-J,qual_MTS,3120640.0,cost,C,DIMOSTRATIVO
D060,historical,TEI-J,qual_MTO,2496512.0,cost,C,DIMOSTRATIVO
D060,historical,EFA-J,RI,402969600.0,cost,C,DIMOSTRATIVO
D060,historical,EFA-J,IEQ,64448000.0,cost,C,DIMOSTRATIVO
D060,historical,EFA-J,WEX,24422400.0,cost,C,DIMOSTRATIVO
D060,historical,EFA-J,CIRC,23404800.0,benefit,C,DIMOSTRATIVO
D060,historical,EcoFA-J,VA,279500800.0,benefit,C,DIMOSTRATIVO
D060,historical,EcoFA-J,econ_in,80560000.0,cost,C,DIMOSTRATIVO
D060,historical,EcoFA-J,INV,37854720.0,cost,C,DIMOSTRATIVO
D060,historical,SFA-J,SV,122281600.0,benefit,C,DIMOSTRATIVO
D060,historical,SFA-J,train,7598080.0,benefit,C,DIMOSTRATIVO
D060,historical,SFA-J,lost,9158400.0,cost,C,DIMOSTRATIVO
D060,historical,SFA-J,CO2,46809600.0,cost,C,DIMOSTRATIVO
D060,realtime,TEI-J,loss_MTS,81408000.0,cost,C,DIMOSTRATIVO
D060,realtime,TEI-J,loss_MTO,70553600.0,cost,C,DIMOSTRATIVO
D060,realtime,TEI-J,inv,8344320.0,cost,C,DIMOSTRATIVO
D060,realtime,TEI-J,qual_MTS,2849280.0,cost,C,DIMOSTRATIVO
D060,realtime,TEI-J,qual_MTO,2279424.0,cost,C,DIMOSTRATIVO
D060,realtime,EFA-J,RI,398899200.0,cost,C,DIMOSTRATIVO
D060,realtime,EFA-J,IEQ,61056000.0,cost,C,DIMOSTRATIVO
D060,realtime,EFA-J,WEX,21708800.0,cost,C,DIMOSTRATIVO
D060,realtime,EFA-J,CIRC,26457600.0,benefit,C,DIMOSTRATIVO
D060,realtime,EcoFA-J,VA,287641600.0,benefit,C,DIMOSTRATIVO
D060,realtime,EcoFA-J,econ_in,76320000.0,cost,C,DIMOSTRATIVO
D060,realtime,EcoFA-J,INV,35005440.0,cost,C,DIMOSTRATIVO
D060,realtime,SFA-J,SV,125843200.0,benefit,C,DIMOSTRATIVO
D060,realtime,SFA-J,train,8412160.0,benefit,C,DIMOSTRATIVO
D060,realtime,SFA-J,lost,8140800.0,cost,C,DIMOSTRATIVO
D060,realtime,SFA-J,CO2,42739200.0,cost,C,DIMOSTRATIVO
D240,ref2017,TEI-J,loss_MTS,79560000.0,cost,C,DIMOSTRATIVO
D240,ref2017,TEI-J,loss_MTO,68952000.0,cost,C,DIMOSTRATIVO
D240,ref2017,TEI-J,inv,7956000.0,cost,C,DIMOSTRATIVO
D240,ref2017,TEI-J,qual_MTS,2652000.0,cost,C,DIMOSTRATIVO
D240,ref2017,TEI-J,qual_MTO,2121600.0,cost,C,DIMOSTRATIVO
D240,ref2017,EFA-J,RI,318240000.0,cost,C,DIMOSTRATIVO
D240,ref2017,EFA-J,IEQ,53040000.0,cost,C,DIMOSTRATIVO
D240,ref2017,EFA-J,WEX,21216000.0,cost,C,DIMOSTRATIVO
D240,ref2017,EFA-J,CIRC,15912000.0,benefit,C,DIMOSTRATIVO
D240,ref2017,EcoFA-J,VA,212160000.0,benefit,C,DIMOSTRATIVO
D240,ref2017,EcoFA-J,econ_in,66300000.0,cost,C,DIMOSTRATIVO
D240,ref2017,EcoFA-J,INV,31824000.0,cost,C,DIMOSTRATIVO
D240,ref2017,SFA-J,SV,92820000.0,benefit,C,DIMOSTRATIVO
D240,ref2017,SFA-J,train,5304000.0,benefit,C,DIMOSTRATIVO
D240,ref2017,SFA-J,lost,7956000.0,cost,C,DIMOSTRATIVO
D240,ref2017,SFA-J,CO2,39780000.0,cost,C,DIMOSTRATIVO
D240,historical,TEI-J,loss_MTS,71604000.0,cost,C,DIMOSTRATIVO
D240,historical,TEI-J,loss_MTO,62056800.0,cost,C,DIMOSTRATIVO
D240,historical,TEI-J,inv,7239960.0,cost,C,DIMOSTRATIVO
D240,historical,TEI-J,qual_MTS,2439840.0,cost,C,DIMOSTRATIVO
D240,historical,TEI-J,qual_MTO,1951872.0,cost,C,DIMOSTRATIVO
D240,historical,EFA-J,RI,315057600.0,cost,C,DIMOSTRATIVO
D240,historical,EFA-J,IEQ,50388000.0,cost,C,DIMOSTRATIVO
D240,historical,EFA-J,WEX,19094400.0,cost,C,DIMOSTRATIVO
D240,historical,EFA-J,CIRC,18298800.0,benefit,C,DIMOSTRATIVO
D240,historical,EcoFA-J,VA,218524800.0,benefit,C,DIMOSTRATIVO
D240,historical,EcoFA-J,econ_in,62985000.0,cost,C,DIMOSTRATIVO
D240,historical,EcoFA-J,INV,29596320.0,cost,C,DIMOSTRATIVO
D240,historical,SFA-J,SV,95604600.0,benefit,C,DIMOSTRATIVO
D240,historical,SFA-J,train,5940480.0,benefit,C,DIMOSTRATIVO
D240,historical,SFA-J,lost,7160400.0,cost,C,DIMOSTRATIVO
D240,historical,SFA-J,CO2,36597600.0,cost,C,DIMOSTRATIVO
D240,realtime,TEI-J,loss_MTS,63648000.0,cost,C,DIMOSTRATIVO
D240,realtime,TEI-J,loss_MTO,55161600.0,cost,C,DIMOSTRATIVO
D240,realtime,TEI-J,inv,6523920.0,cost,C,DIMOSTRATIVO
D240,realtime,TEI-J,qual_MTS,2227680.0,cost,C,DIMOSTRATIVO
D240,realtime,TEI-J,qual_MTO,1782144.0,cost,C,DIMOSTRATIVO
D240,realtime,EFA-J,RI,311875200.0,cost,C,DIMOSTRATIVO
D240,realtime,EFA-J,IEQ,47736000.0,cost,C,DIMOSTRATIVO
D240,realtime,EFA-J,WEX,16972800.0,cost,C,DIMOSTRATIVO
D240,realtime,EFA-J,CIRC,20685600.0,benefit,C,DIMOSTRATIVO
D240,realtime,EcoFA-J,VA,224889600.0,benefit,C,DIMOSTRATIVO
D240,realtime,EcoFA-J,econ_in,59670000.0,cost,C,DIMOSTRATIVO
D240,realtime,EcoFA-J,INV,27368640.0,cost,C,DIMOSTRATIVO
D240,realtime,SFA-J,SV,98389200.0,benefit,C,DIMOSTRATIVO
D240,realtime,SFA-J,train,6576960.0,benefit,C,DIMOSTRATIVO
D240,realtime,SFA-J,lost,6364800.0,cost,C,DIMOSTRATIVO
D240,realtime,SFA-J,CO2,33415200.0,cost,C,DIMOSTRATIVO
